dimensions,width,height
"(262, 192)",262,192
"(183, 275)",183,275
"(168, 300)",168,300
"(225, 225)",225,225
"(1024, 576)",1024,576
"(1024, 683)",1024,683
"(259, 194)",259,194
"(251, 201)",251,201
"(1500, 1001)",1500,1001
"(276, 183)",276,183
"(248, 203)",248,203
"(225, 225)",225,225
"(276, 183)",276,183
"(225, 225)",225,225
"(281, 180)",281,180
"(338, 211)",338,211
"(463, 260)",463,260
"(800, 533)",800,533
"(225, 225)",225,225
"(295, 171)",295,171
"(860, 766)",860,766
"(1000, 1000)",1000,1000
"(612, 392)",612,392
"(275, 183)",275,183
"(509, 338)",509,338
"(168, 299)",168,299
"(700, 522)",700,522
"(509, 339)",509,339
"(275, 183)",275,183
"(275, 183)",275,183
"(940, 788)",940,788
"(299, 168)",299,168
"(800, 536)",800,536
"(509, 339)",509,339
"(267, 189)",267,189
"(1000, 667)",1000,667
"(176, 286)",176,286
"(224, 225)",224,225
"(225, 225)",225,225
"(612, 459)",612,459
"(275, 183)",275,183
"(194, 259)",194,259
"(270, 187)",270,187
"(900, 900)",900,900
"(1920, 1485)",1920,1485
"(219, 230)",219,230
"(4592, 3056)",4592,3056
"(510, 340)",510,340
"(183, 275)",183,275
"(300, 300)",300,300
"(168, 300)",168,300
"(1280, 1920)",1280,1920
"(946, 1280)",946,1280
"(318, 159)",318,159
"(612, 388)",612,388
"(249, 202)",249,202
"(267, 280)",267,280
"(275, 183)",275,183
"(300, 168)",300,168
"(612, 408)",612,408
"(390, 280)",390,280
"(1022, 575)",1022,575
"(225, 225)",225,225
"(275, 184)",275,184
"(1300, 957)",1300,957
"(511, 338)",511,338
"(270, 187)",270,187
"(276, 183)",276,183
"(338, 601)",338,601
"(300, 168)",300,168
"(184, 275)",184,275
"(920, 659)",920,659
"(225, 225)",225,225
"(259, 194)",259,194
"(518, 640)",518,640
"(612, 408)",612,408
"(275, 183)",275,183
"(600, 400)",600,400
"(275, 183)",275,183
"(1920, 1200)",1920,1200
"(640, 426)",640,426
"(840, 879)",840,879
"(2560, 1600)",2560,1600
"(200, 356)",200,356
"(800, 1422)",800,1422
"(360, 360)",360,360
"(500, 500)",500,500
"(360, 464)",360,464
"(275, 183)",275,183
"(225, 225)",225,225
"(275, 183)",275,183
"(168, 300)",168,300
"(168, 300)",168,300
"(450, 263)",450,263
"(227, 340)",227,340
"(225, 225)",225,225
"(3840, 2160)",3840,2160
"(190, 266)",190,266
"(300, 168)",300,168
"(187, 270)",187,270
"(1000, 565)",1000,565
"(297, 170)",297,170
"(265, 190)",265,190
"(260, 194)",260,194
"(259, 194)",259,194
"(300, 168)",300,168
"(236, 523)",236,523
"(284, 177)",284,177
"(283, 178)",283,178
"(259, 194)",259,194
"(225, 225)",225,225
"(296, 170)",296,170
"(728, 410)",728,410
"(262, 193)",262,193
"(265, 190)",265,190
"(1000, 668)",1000,668
"(500, 500)",500,500
"(201, 251)",201,251
"(224, 280)",224,280
"(267, 189)",267,189
"(1280, 853)",1280,853
"(275, 183)",275,183
"(540, 360)",540,360
"(200, 200)",200,200
"(216, 233)",216,233
"(300, 168)",300,168
"(275, 183)",275,183
"(234, 215)",234,215
"(200, 200)",200,200
"(720, 810)",720,810
"(460, 360)",460,360
"(3379, 2438)",3379,2438
"(265, 190)",265,190
"(275, 183)",275,183
"(300, 168)",300,168
"(300, 168)",300,168
"(265, 190)",265,190
"(284, 177)",284,177
"(168, 300)",168,300
"(1080, 1080)",1080,1080
"(275, 183)",275,183
"(292, 173)",292,173
"(300, 168)",300,168
"(540, 360)",540,360
"(640, 1138)",640,1138
"(1280, 853)",1280,853
"(275, 183)",275,183
"(1000, 956)",1000,956
"(3508, 2480)",3508,2480
"(275, 183)",275,183
"(284, 177)",284,177
"(450, 257)",450,257
"(271, 186)",271,186
"(275, 183)",275,183
"(260, 194)",260,194
"(920, 1477)",920,1477
"(1200, 620)",1200,620
"(284, 177)",284,177
"(300, 168)",300,168
"(798, 360)",798,360
"(262, 193)",262,193
"(360, 360)",360,360
"(168, 299)",168,299
"(300, 168)",300,168
"(310, 163)",310,163
"(275, 183)",275,183
"(300, 168)",300,168
"(540, 360)",540,360
"(537, 721)",537,721
"(510, 340)",510,340
"(194, 259)",194,259
"(1000, 1500)",1000,1500
"(225, 225)",225,225
"(2560, 1707)",2560,1707
"(612, 408)",612,408
"(1080, 1920)",1080,1920
"(275, 183)",275,183
"(225, 225)",225,225
"(2492, 2765)",2492,2765
"(253, 200)",253,200
"(225, 225)",225,225
"(225, 225)",225,225
"(225, 225)",225,225
"(350, 233)",350,233
"(800, 533)",800,533
"(259, 194)",259,194
"(354, 280)",354,280
"(1706, 980)",1706,980
"(626, 470)",626,470
"(275, 183)",275,183
"(300, 168)",300,168
"(275, 183)",275,183
"(305, 165)",305,165
"(800, 532)",800,532
"(284, 177)",284,177
"(168, 300)",168,300
"(1920, 1440)",1920,1440
"(768, 432)",768,432
"(720, 869)",720,869
"(500, 750)",500,750
"(275, 183)",275,183
"(284, 177)",284,177
"(640, 360)",640,360
"(152, 331)",152,331
"(1186, 829)",1186,829
"(177, 285)",177,285
"(612, 515)",612,515
"(268, 188)",268,188
"(1920, 1200)",1920,1200
"(1080, 1080)",1080,1080
"(265, 190)",265,190
"(163, 308)",163,308
"(265, 190)",265,190
"(1300, 956)",1300,956
"(800, 450)",800,450
"(300, 168)",300,168
"(263, 192)",263,192
"(1300, 1130)",1300,1130
"(800, 600)",800,600
"(516, 334)",516,334
"(275, 183)",275,183
"(600, 300)",600,300
"(275, 183)",275,183
"(216, 233)",216,233
"(268, 188)",268,188
"(510, 340)",510,340
"(612, 408)",612,408
"(204, 247)",204,247
"(600, 350)",600,350
"(274, 184)",274,184
"(347, 145)",347,145
"(225, 225)",225,225
"(260, 194)",260,194
"(300, 168)",300,168
"(508, 340)",508,340
"(278, 181)",278,181
"(275, 183)",275,183
"(300, 168)",300,168
"(300, 168)",300,168
"(276, 183)",276,183
"(1600, 1265)",1600,1265
"(279, 181)",279,181
"(262, 192)",262,192
"(626, 418)",626,418
"(270, 187)",270,187
"(177, 285)",177,285
"(259, 194)",259,194
"(299, 168)",299,168
"(276, 183)",276,183
"(275, 184)",275,184
"(1600, 1600)",1600,1600
"(784, 900)",784,900
"(450, 450)",450,450
"(470, 280)",470,280
"(275, 183)",275,183
"(178, 284)",178,284
"(450, 300)",450,300
"(300, 168)",300,168
"(350, 567)",350,567
"(313, 161)",313,161
"(800, 400)",800,400
"(236, 354)",236,354
"(1080, 1920)",1080,1920
"(275, 183)",275,183
"(275, 183)",275,183
"(244, 206)",244,206
"(390, 280)",390,280
"(275, 183)",275,183
"(185, 272)",185,272
"(222, 227)",222,227
"(866, 1390)",866,1390
"(299, 168)",299,168
"(275, 183)",275,183
"(1500, 938)",1500,938
"(1080, 608)",1080,608
"(299, 168)",299,168
"(1280, 720)",1280,720
"(390, 280)",390,280
"(275, 183)",275,183
"(728, 728)",728,728
"(320, 157)",320,157
"(245, 206)",245,206
"(183, 275)",183,275
"(1023, 682)",1023,682
"(284, 177)",284,177
"(176, 286)",176,286
"(183, 275)",183,275
"(800, 532)",800,532
"(259, 194)",259,194
"(2000, 2000)",2000,2000
"(626, 417)",626,417
"(183, 275)",183,275
"(300, 168)",300,168
"(285, 177)",285,177
"(275, 183)",275,183
"(265, 190)",265,190
"(1300, 1065)",1300,1065
"(1500, 938)",1500,938
"(612, 367)",612,367
"(1000, 1294)",1000,1294
"(284, 177)",284,177
"(512, 512)",512,512
"(1440, 900)",1440,900
"(300, 168)",300,168
"(219, 230)",219,230
"(262, 192)",262,192
"(275, 183)",275,183
"(1280, 853)",1280,853
"(275, 183)",275,183
"(290, 174)",290,174
"(3165, 2173)",3165,2173
"(297, 170)",297,170
"(900, 732)",900,732
"(183, 275)",183,275
"(569, 303)",569,303
"(284, 177)",284,177
"(260, 194)",260,194
"(1280, 914)",1280,914
"(247, 204)",247,204
"(275, 183)",275,183
"(225, 225)",225,225
"(800, 533)",800,533
"(612, 408)",612,408
"(1280, 853)",1280,853
"(250, 250)",250,250
"(152, 330)",152,330
"(300, 168)",300,168
"(612, 408)",612,408
"(275, 183)",275,183
"(1200, 800)",1200,800
"(190, 265)",190,265
"(1600, 1572)",1600,1572
"(500, 695)",500,695
"(275, 183)",275,183
"(1200, 900)",1200,900
"(800, 1422)",800,1422
"(324, 156)",324,156
"(1200, 1200)",1200,1200
"(1600, 1280)",1600,1280
"(276, 183)",276,183
"(270, 187)",270,187
"(255, 198)",255,198
"(275, 183)",275,183
"(284, 177)",284,177
"(275, 183)",275,183
"(275, 183)",275,183
"(284, 177)",284,177
"(800, 1200)",800,1200
"(262, 192)",262,192
"(172, 292)",172,292
"(251, 201)",251,201
"(320, 480)",320,480
"(1600, 1017)",1600,1017
"(233, 216)",233,216
"(284, 177)",284,177
"(240, 360)",240,360
"(367, 137)",367,137
"(275, 183)",275,183
"(800, 663)",800,663
"(270, 187)",270,187
"(245, 206)",245,206
"(275, 183)",275,183
"(512, 512)",512,512
"(275, 183)",275,183
"(1200, 1024)",1200,1024
"(612, 408)",612,408
"(1300, 955)",1300,955
"(168, 300)",168,300
"(350, 622)",350,622
"(338, 601)",338,601
"(275, 183)",275,183
"(640, 427)",640,427
"(268, 188)",268,188
"(283, 178)",283,178
"(612, 301)",612,301
"(300, 168)",300,168
"(728, 485)",728,485
"(275, 183)",275,183
"(225, 225)",225,225
"(275, 183)",275,183
"(1920, 1080)",1920,1080
"(236, 354)",236,354
"(835, 500)",835,500
"(183, 276)",183,276
"(291, 173)",291,173
"(225, 225)",225,225
"(279, 181)",279,181
"(1600, 1000)",1600,1000
"(910, 1390)",910,1390
"(318, 159)",318,159
"(262, 192)",262,192
"(275, 183)",275,183
"(265, 190)",265,190
"(300, 168)",300,168
"(183, 275)",183,275
"(612, 612)",612,612
"(360, 329)",360,329
"(612, 408)",612,408
"(275, 183)",275,183
"(275, 183)",275,183
"(275, 183)",275,183
"(275, 183)",275,183
"(168, 300)",168,300
"(306, 165)",306,165
"(542, 360)",542,360
"(550, 283)",550,283
"(408, 612)",408,612
"(225, 225)",225,225
"(272, 185)",272,185
"(280, 180)",280,180
"(227, 222)",227,222
"(1170, 2532)",1170,2532
"(275, 183)",275,183
"(236, 330)",236,330
"(275, 183)",275,183
"(225, 225)",225,225
"(390, 280)",390,280
"(600, 400)",600,400
"(194, 260)",194,260
"(764, 510)",764,510
"(185, 272)",185,272
"(198, 255)",198,255
"(290, 290)",290,290
"(600, 400)",600,400
"(1920, 1200)",1920,1200
"(612, 357)",612,357
"(510, 340)",510,340
"(168, 300)",168,300
"(360, 360)",360,360
"(1200, 1170)",1200,1170
"(266, 190)",266,190
"(626, 418)",626,418
"(259, 194)",259,194
"(255, 197)",255,197
"(800, 735)",800,735
"(1000, 1162)",1000,1162
"(800, 1508)",800,1508
"(530, 291)",530,291
"(183, 275)",183,275
"(225, 225)",225,225
"(640, 525)",640,525
"(225, 225)",225,225
"(250, 202)",250,202
"(728, 455)",728,455
"(225, 225)",225,225
"(750, 500)",750,500
"(300, 168)",300,168
"(168, 300)",168,300
"(800, 533)",800,533
"(1000, 562)",1000,562
"(259, 194)",259,194
"(1300, 953)",1300,953
"(510, 340)",510,340
"(168, 300)",168,300
"(275, 183)",275,183
"(184, 275)",184,275
"(720, 480)",720,480
"(626, 417)",626,417
"(251, 201)",251,201
"(275, 183)",275,183
"(275, 183)",275,183
"(300, 168)",300,168
"(400, 300)",400,300
"(1600, 1265)",1600,1265
"(300, 168)",300,168
"(612, 338)",612,338
"(183, 275)",183,275
"(225, 225)",225,225
"(350, 622)",350,622
"(275, 183)",275,183
"(200, 355)",200,355
"(253, 200)",253,200
"(275, 183)",275,183
"(2560, 1708)",2560,1708
"(290, 174)",290,174
"(1125, 2436)",1125,2436
"(1600, 1066)",1600,1066
"(300, 168)",300,168
"(240, 360)",240,360
"(274, 184)",274,184
"(276, 183)",276,183
"(275, 183)",275,183
"(284, 177)",284,177
"(275, 183)",275,183
"(308, 163)",308,163
"(416, 612)",416,612
"(1200, 675)",1200,675
"(284, 177)",284,177
"(612, 408)",612,408
"(201, 251)",201,251
"(300, 168)",300,168
"(1000, 563)",1000,563
"(276, 182)",276,182
"(288, 416)",288,416
"(259, 194)",259,194
"(800, 533)",800,533
"(284, 177)",284,177
"(168, 300)",168,300
"(544, 360)",544,360
"(217, 232)",217,232
"(509, 340)",509,340
"(252, 200)",252,200
"(168, 300)",168,300
"(822, 360)",822,360
"(184, 274)",184,274
"(177, 284)",177,284
"(300, 168)",300,168
"(276, 183)",276,183
"(229, 220)",229,220
"(202, 250)",202,250
"(300, 168)",300,168
"(236, 352)",236,352
"(300, 168)",300,168
"(1600, 693)",1600,693
"(264, 191)",264,191
"(425, 336)",425,336
"(225, 225)",225,225
"(275, 183)",275,183
"(900, 863)",900,863
"(900, 720)",900,720
"(275, 183)",275,183
"(235, 218)",235,218
"(1024, 683)",1024,683
"(284, 177)",284,177
"(151, 334)",151,334
"(259, 194)",259,194
"(275, 183)",275,183
"(294, 171)",294,171
"(275, 183)",275,183
"(275, 183)",275,183
"(241, 209)",241,209
"(500, 500)",500,500
"(294, 172)",294,172
"(249, 202)",249,202
"(650, 450)",650,450
"(275, 183)",275,183
"(290, 174)",290,174
"(463, 260)",463,260
"(1000, 667)",1000,667
"(168, 299)",168,299
"(218, 231)",218,231
"(284, 177)",284,177
"(612, 419)",612,419
"(284, 177)",284,177
"(398, 280)",398,280
"(194, 259)",194,259
"(278, 181)",278,181
"(359, 141)",359,141
"(960, 854)",960,854
"(407, 124)",407,124
"(640, 425)",640,425
"(226, 223)",226,223
"(339, 148)",339,148
"(275, 183)",275,183
"(265, 190)",265,190
"(312, 234)",312,234
"(1080, 1080)",1080,1080
"(284, 177)",284,177
"(1200, 960)",1200,960
"(225, 225)",225,225
"(253, 200)",253,200
"(275, 183)",275,183
"(226, 223)",226,223
"(544, 360)",544,360
"(334, 151)",334,151
"(600, 360)",600,360
"(264, 191)",264,191
"(612, 405)",612,405
"(225, 225)",225,225
"(920, 683)",920,683
"(900, 650)",900,650
"(183, 275)",183,275
"(1200, 1200)",1200,1200
"(420, 236)",420,236
"(381, 280)",381,280
"(275, 183)",275,183
"(225, 225)",225,225
"(275, 183)",275,183
"(182, 278)",182,278
"(1000, 667)",1000,667
"(2560, 1920)",2560,1920
"(300, 168)",300,168
"(612, 408)",612,408
"(259, 194)",259,194
"(269, 188)",269,188
"(3456, 2304)",3456,2304
"(1154, 692)",1154,692
"(235, 215)",235,215
"(1280, 720)",1280,720
"(183, 275)",183,275
"(259, 194)",259,194
"(800, 600)",800,600
"(275, 183)",275,183
"(500, 889)",500,889
"(600, 420)",600,420
"(275, 183)",275,183
"(236, 354)",236,354
"(490, 280)",490,280
"(700, 592)",700,592
"(275, 183)",275,183
"(510, 340)",510,340
"(243, 207)",243,207
"(225, 225)",225,225
"(177, 285)",177,285
"(1024, 683)",1024,683
"(1300, 957)",1300,957
"(1200, 1200)",1200,1200
"(341, 148)",341,148
"(259, 194)",259,194
"(390, 280)",390,280
"(250, 201)",250,201
"(4256, 2568)",4256,2568
"(290, 174)",290,174
"(294, 171)",294,171
"(275, 183)",275,183
"(233, 216)",233,216
"(390, 280)",390,280
"(264, 191)",264,191
"(177, 285)",177,285
"(284, 178)",284,178
"(200, 320)",200,320
"(612, 408)",612,408
"(259, 194)",259,194
"(275, 183)",275,183
"(390, 280)",390,280
"(241, 209)",241,209
"(612, 344)",612,344
"(1600, 1200)",1600,1200
"(193, 261)",193,261
"(1180, 882)",1180,882
"(183, 276)",183,276
"(1080, 675)",1080,675
"(168, 299)",168,299
"(1000, 1500)",1000,1500
"(183, 275)",183,275
"(347, 145)",347,145
"(1003, 1023)",1003,1023
"(320, 320)",320,320
"(612, 408)",612,408
"(355, 222)",355,222
"(728, 524)",728,524
"(261, 193)",261,193
"(232, 217)",232,217
"(248, 203)",248,203
"(275, 183)",275,183
"(190, 266)",190,266
"(275, 183)",275,183
"(259, 194)",259,194
"(348, 282)",348,282
"(225, 225)",225,225
"(390, 280)",390,280
"(425, 336)",425,336
"(275, 183)",275,183
"(275, 183)",275,183
"(177, 284)",177,284
"(1200, 800)",1200,800
"(168, 300)",168,300
"(225, 225)",225,225
"(276, 183)",276,183
"(480, 854)",480,854
"(1500, 1125)",1500,1125
"(510, 340)",510,340
"(275, 183)",275,183
"(310, 163)",310,163
"(249, 202)",249,202
"(225, 225)",225,225
"(202, 250)",202,250
"(1155, 648)",1155,648
"(1280, 800)",1280,800
"(1280, 853)",1280,853
"(230, 219)",230,219
"(543, 340)",543,340
"(168, 300)",168,300
"(297, 170)",297,170
"(612, 408)",612,408
"(276, 183)",276,183
"(262, 193)",262,193
"(274, 184)",274,184
"(768, 960)",768,960
"(275, 183)",275,183
"(225, 225)",225,225
"(236, 330)",236,330
"(1200, 630)",1200,630
"(380, 214)",380,214
"(238, 212)",238,212
"(500, 500)",500,500
"(275, 183)",275,183
"(500, 333)",500,333
"(183, 275)",183,275
"(275, 183)",275,183
"(1000, 670)",1000,670
"(275, 183)",275,183
"(1170, 630)",1170,630
"(463, 260)",463,260
"(275, 183)",275,183
"(1080, 1920)",1080,1920
"(281, 180)",281,180
"(275, 183)",275,183
"(300, 168)",300,168
"(270, 187)",270,187
"(300, 168)",300,168
"(1920, 1080)",1920,1080
"(261, 193)",261,193
"(612, 408)",612,408
"(600, 422)",600,422
"(509, 340)",509,340
"(291, 173)",291,173
"(318, 159)",318,159
"(354, 142)",354,142
"(500, 280)",500,280
"(284, 177)",284,177
"(612, 475)",612,475
"(850, 534)",850,534
"(168, 299)",168,299
"(254, 199)",254,199
"(275, 183)",275,183
"(251, 201)",251,201
"(318, 159)",318,159
"(920, 1243)",920,1243
"(183, 275)",183,275
"(300, 168)",300,168
"(1024, 1024)",1024,1024
"(275, 183)",275,183
"(201, 251)",201,251
"(390, 280)",390,280
"(360, 360)",360,360
"(190, 265)",190,265
"(302, 167)",302,167
"(1280, 720)",1280,720
"(860, 575)",860,575
"(800, 519)",800,519
"(275, 183)",275,183
"(283, 178)",283,178
"(850, 850)",850,850
"(241, 209)",241,209
"(282, 179)",282,179
"(183, 275)",183,275
"(275, 183)",275,183
"(600, 251)",600,251
"(300, 168)",300,168
"(300, 168)",300,168
"(265, 190)",265,190
"(1013, 980)",1013,980
"(275, 183)",275,183
"(238, 212)",238,212
"(268, 188)",268,188
"(612, 459)",612,459
"(279, 180)",279,180
"(1134, 1400)",1134,1400
"(259, 194)",259,194
"(259, 194)",259,194
"(225, 225)",225,225
"(500, 333)",500,333
"(265, 190)",265,190
"(217, 232)",217,232
"(721, 240)",721,240
"(432, 600)",432,600
"(800, 450)",800,450
"(275, 183)",275,183
"(1800, 1198)",1800,1198
"(228, 221)",228,221
"(509, 339)",509,339
"(259, 194)",259,194
"(269, 187)",269,187
"(528, 280)",528,280
"(225, 225)",225,225
"(275, 183)",275,183
"(275, 183)",275,183
"(275, 183)",275,183
"(284, 177)",284,177
"(511, 340)",511,340
"(200, 339)",200,339
"(1350, 1080)",1350,1080
"(236, 353)",236,353
"(1600, 1000)",1600,1000
"(300, 168)",300,168
"(195, 259)",195,259
"(1280, 853)",1280,853
"(390, 280)",390,280
"(300, 168)",300,168
"(800, 533)",800,533
"(197, 255)",197,255
"(284, 177)",284,177
"(299, 168)",299,168
"(800, 1200)",800,1200
"(299, 169)",299,169
"(1300, 956)",1300,956
"(390, 280)",390,280
"(3840, 2160)",3840,2160
"(800, 864)",800,864
"(1300, 971)",1300,971
"(612, 612)",612,612
"(282, 179)",282,179
"(640, 426)",640,426
"(448, 360)",448,360
"(168, 300)",168,300
"(1200, 631)",1200,631
"(275, 183)",275,183
"(225, 225)",225,225
"(225, 225)",225,225
"(4095, 2719)",4095,2719
"(289, 174)",289,174
"(259, 194)",259,194
"(275, 183)",275,183
"(275, 183)",275,183
"(194, 259)",194,259
"(300, 168)",300,168
"(800, 881)",800,881
"(1920, 1080)",1920,1080
"(276, 183)",276,183
"(660, 413)",660,413
"(394, 416)",394,416
"(252, 200)",252,200
"(299, 168)",299,168
"(225, 225)",225,225
"(261, 193)",261,193
"(303, 166)",303,166
"(228, 221)",228,221
"(225, 225)",225,225
"(287, 176)",287,176
"(275, 183)",275,183
"(225, 225)",225,225
"(253, 200)",253,200
"(299, 168)",299,168
"(600, 476)",600,476
"(275, 183)",275,183
"(275, 183)",275,183
"(1920, 1200)",1920,1200
"(279, 180)",279,180
"(210, 241)",210,241
"(244, 206)",244,206
"(389, 129)",389,129
"(1920, 1080)",1920,1080
"(1300, 1390)",1300,1390
"(265, 190)",265,190
"(225, 225)",225,225
"(168, 300)",168,300
"(1500, 1000)",1500,1000
"(225, 225)",225,225
"(225, 225)",225,225
"(275, 183)",275,183
"(390, 280)",390,280
"(269, 188)",269,188
"(225, 225)",225,225
"(275, 183)",275,183
"(275, 183)",275,183
"(183, 275)",183,275
"(152, 330)",152,330
"(600, 445)",600,445
"(320, 320)",320,320
"(227, 223)",227,223
"(600, 398)",600,398
"(602, 900)",602,900
"(225, 225)",225,225
"(1920, 1280)",1920,1280
"(214, 236)",214,236
"(259, 194)",259,194
"(1000, 1334)",1000,1334
"(338, 450)",338,450
"(300, 168)",300,168
"(650, 450)",650,450
"(259, 194)",259,194
"(1000, 667)",1000,667
"(275, 183)",275,183
"(866, 1390)",866,1390
"(600, 225)",600,225
"(276, 182)",276,182
"(265, 190)",265,190
"(292, 173)",292,173
"(193, 261)",193,261
"(227, 223)",227,223
"(612, 393)",612,393
"(800, 800)",800,800
"(284, 177)",284,177
"(275, 183)",275,183
"(3840, 2400)",3840,2400
"(1500, 1500)",1500,1500
"(284, 177)",284,177
"(252, 200)",252,200
"(168, 299)",168,299
"(728, 486)",728,486
"(513, 340)",513,340
"(300, 168)",300,168
"(183, 275)",183,275
"(275, 183)",275,183
"(300, 168)",300,168
"(265, 190)",265,190
"(299, 168)",299,168
"(287, 175)",287,175
"(500, 500)",500,500
"(289, 175)",289,175
"(1600, 1000)",1600,1000
"(1983, 1244)",1983,1244
"(225, 225)",225,225
"(183, 275)",183,275
"(1200, 675)",1200,675
"(612, 408)",612,408
"(275, 183)",275,183
"(199, 253)",199,253
"(254, 198)",254,198
"(642, 642)",642,642
"(630, 420)",630,420
"(360, 360)",360,360
"(612, 408)",612,408
"(205, 246)",205,246
"(480, 270)",480,270
"(798, 418)",798,418
"(225, 225)",225,225
"(1200, 734)",1200,734
"(262, 192)",262,192
"(251, 200)",251,200
"(225, 225)",225,225
"(257, 196)",257,196
"(275, 183)",275,183
"(275, 183)",275,183
"(183, 275)",183,275
"(480, 310)",480,310
"(510, 340)",510,340
"(408, 612)",408,612
"(477, 360)",477,360
"(168, 300)",168,300
"(500, 281)",500,281
"(300, 168)",300,168
"(251, 200)",251,200
"(805, 483)",805,483
"(275, 183)",275,183
"(225, 225)",225,225
"(225, 225)",225,225
"(275, 183)",275,183
"(3700, 2457)",3700,2457
"(202, 250)",202,250
"(760, 507)",760,507
"(279, 180)",279,180
"(310, 162)",310,162
"(500, 500)",500,500
"(183, 275)",183,275
"(230, 219)",230,219
"(608, 455)",608,455
"(683, 1024)",683,1024
"(1000, 1333)",1000,1333
"(259, 194)",259,194
"(225, 225)",225,225
"(344, 146)",344,146
"(177, 285)",177,285
"(241, 209)",241,209
"(300, 168)",300,168
"(265, 190)",265,190
"(1600, 1590)",1600,1590
"(300, 168)",300,168
"(275, 183)",275,183
"(700, 450)",700,450
"(278, 181)",278,181
"(1080, 675)",1080,675
"(352, 280)",352,280
"(950, 683)",950,683
"(276, 183)",276,183
"(220, 147)",220,147
"(225, 225)",225,225
"(225, 225)",225,225
"(318, 158)",318,158
"(361, 140)",361,140
"(257, 196)",257,196
"(800, 900)",800,900
"(275, 183)",275,183
"(266, 190)",266,190
"(206, 244)",206,244
"(1920, 1281)",1920,1281
"(284, 177)",284,177
"(271, 186)",271,186
"(612, 408)",612,408
"(642, 642)",642,642
"(198, 255)",198,255
"(201, 251)",201,251
"(265, 190)",265,190
"(1920, 1200)",1920,1200
"(360, 140)",360,140
"(300, 168)",300,168
"(500, 500)",500,500
"(600, 600)",600,600
"(300, 168)",300,168
"(275, 183)",275,183
"(299, 168)",299,168
"(300, 168)",300,168
"(612, 408)",612,408
"(183, 275)",183,275
"(301, 167)",301,167
"(225, 225)",225,225
"(275, 183)",275,183
"(309, 163)",309,163
"(275, 183)",275,183
"(192, 262)",192,262
"(728, 485)",728,485
"(275, 183)",275,183
"(236, 213)",236,213
"(299, 169)",299,169
"(275, 183)",275,183
"(225, 225)",225,225
"(1200, 628)",1200,628
"(183, 275)",183,275
"(168, 300)",168,300
"(225, 225)",225,225
"(194, 259)",194,259
"(1080, 675)",1080,675
"(225, 225)",225,225
"(225, 225)",225,225
"(334, 200)",334,200
"(276, 183)",276,183
"(300, 168)",300,168
"(1024, 1024)",1024,1024
"(350, 144)",350,144
"(194, 259)",194,259
"(910, 564)",910,564
"(271, 186)",271,186
"(300, 168)",300,168
"(275, 183)",275,183
"(600, 900)",600,900
"(275, 183)",275,183
"(300, 168)",300,168
"(250, 250)",250,250
"(289, 174)",289,174
"(261, 193)",261,193
"(810, 450)",810,450
"(297, 170)",297,170
"(347, 145)",347,145
"(1600, 1071)",1600,1071
"(225, 225)",225,225
"(540, 360)",540,360
"(1920, 1440)",1920,1440
"(500, 338)",500,338
"(1500, 400)",1500,400
"(540, 600)",540,600
"(257, 196)",257,196
"(1280, 720)",1280,720
"(612, 408)",612,408
"(728, 485)",728,485
"(300, 168)",300,168
"(3200, 1801)",3200,1801
"(1080, 1080)",1080,1080
"(275, 183)",275,183
"(284, 177)",284,177
"(510, 340)",510,340
"(289, 174)",289,174
"(800, 600)",800,600
"(368, 460)",368,460
"(800, 535)",800,535
"(556, 370)",556,370
"(293, 172)",293,172
"(183, 275)",183,275
"(1920, 1536)",1920,1536
"(183, 275)",183,275
"(290, 174)",290,174
"(800, 531)",800,531
"(275, 183)",275,183
"(850, 1300)",850,1300
"(284, 177)",284,177
"(284, 177)",284,177
"(800, 600)",800,600
"(392, 280)",392,280
"(1024, 681)",1024,681
"(168, 300)",168,300
"(343, 147)",343,147
"(225, 225)",225,225
"(574, 894)",574,894
"(275, 183)",275,183
"(275, 183)",275,183
"(612, 406)",612,406
"(2048, 1365)",2048,1365
"(375, 500)",375,500
"(509, 339)",509,339
"(284, 177)",284,177
"(800, 450)",800,450
"(275, 183)",275,183
"(225, 225)",225,225
"(275, 183)",275,183
"(534, 340)",534,340
"(194, 259)",194,259
"(281, 179)",281,179
"(225, 225)",225,225
"(300, 168)",300,168
"(225, 225)",225,225
"(360, 539)",360,539
"(828, 466)",828,466
"(269, 188)",269,188
"(225, 225)",225,225
"(250, 250)",250,250
"(300, 168)",300,168
"(2902, 3410)",2902,3410
"(1600, 1000)",1600,1000
"(1143, 2000)",1143,2000
"(236, 269)",236,269
"(608, 453)",608,453
"(276, 183)",276,183
"(292, 173)",292,173
"(400, 600)",400,600
"(1024, 1024)",1024,1024
"(299, 168)",299,168
"(173, 292)",173,292
"(225, 225)",225,225
"(1000, 1000)",1000,1000
"(728, 691)",728,691
"(600, 600)",600,600
"(275, 183)",275,183
"(576, 864)",576,864
"(1024, 683)",1024,683
"(310, 162)",310,162
"(900, 600)",900,600
"(225, 225)",225,225
"(435, 116)",435,116
"(910, 607)",910,607
"(225, 225)",225,225
"(225, 225)",225,225
"(194, 259)",194,259
"(344, 147)",344,147
"(867, 1390)",867,1390
"(225, 225)",225,225
"(275, 183)",275,183
"(612, 282)",612,282
"(1246, 1162)",1246,1162
"(600, 600)",600,600
"(300, 168)",300,168
"(273, 184)",273,184
"(259, 194)",259,194
"(225, 225)",225,225
