dimensions,width,height
"(540, 360)",540,360
"(275, 183)",275,183
"(500, 281)",500,281
"(299, 168)",299,168
"(800, 775)",800,775
"(880, 880)",880,880
"(1244, 1855)",1244,1855
"(225, 225)",225,225
"(1244, 1640)",1244,1640
"(640, 960)",640,960
"(265, 190)",265,190
"(275, 183)",275,183
"(225, 225)",225,225
"(408, 612)",408,612
"(360, 254)",360,254
"(310, 163)",310,163
"(275, 183)",275,183
"(301, 167)",301,167
"(698, 768)",698,768
"(275, 183)",275,183
"(259, 194)",259,194
"(1000, 1333)",1000,1333
"(442, 612)",442,612
"(350, 350)",350,350
"(390, 280)",390,280
"(312, 416)",312,416
"(225, 225)",225,225
"(800, 400)",800,400
"(209, 241)",209,241
"(900, 900)",900,900
"(183, 276)",183,276
"(268, 188)",268,188
"(800, 551)",800,551
"(390, 280)",390,280
"(800, 800)",800,800
"(225, 225)",225,225
"(225, 225)",225,225
"(2492, 2765)",2492,2765
"(183, 275)",183,275
"(500, 500)",500,500
"(236, 295)",236,295
"(192, 262)",192,262
"(4478, 2989)",4478,2989
"(181, 279)",181,279
"(333, 500)",333,500
"(182, 278)",182,278
"(266, 190)",266,190
"(800, 800)",800,800
"(1280, 1600)",1280,1600
"(508, 381)",508,381
"(245, 206)",245,206
"(224, 225)",224,225
"(850, 995)",850,995
"(415, 360)",415,360
"(1024, 768)",1024,768
"(276, 183)",276,183
"(225, 225)",225,225
"(253, 199)",253,199
"(274, 184)",274,184
"(420, 280)",420,280
"(800, 600)",800,600
"(275, 183)",275,183
"(193, 261)",193,261
"(848, 530)",848,530
"(275, 183)",275,183
"(225, 225)",225,225
"(287, 176)",287,176
"(225, 225)",225,225
"(259, 194)",259,194
"(1017, 1024)",1017,1024
"(225, 224)",225,224
"(266, 190)",266,190
"(642, 642)",642,642
"(260, 280)",260,280
"(180, 280)",180,280
"(225, 225)",225,225
"(598, 600)",598,600
"(1024, 1024)",1024,1024
"(294, 171)",294,171
"(2000, 1143)",2000,1143
"(225, 225)",225,225
"(800, 800)",800,800
"(216, 233)",216,233
"(1200, 630)",1200,630
"(225, 225)",225,225
"(1280, 960)",1280,960
"(225, 225)",225,225
"(1024, 682)",1024,682
"(510, 340)",510,340
"(204, 247)",204,247
"(416, 416)",416,416
"(299, 169)",299,169
"(300, 168)",300,168
"(183, 275)",183,275
"(310, 163)",310,163
"(259, 194)",259,194
"(500, 500)",500,500
"(216, 233)",216,233
"(225, 225)",225,225
"(225, 225)",225,225
"(499, 340)",499,340
"(275, 183)",275,183
"(236, 285)",236,285
"(1500, 1000)",1500,1000
"(225, 225)",225,225
"(193, 261)",193,261
"(275, 183)",275,183
"(276, 183)",276,183
"(1035, 772)",1035,772
"(612, 427)",612,427
"(275, 183)",275,183
"(225, 225)",225,225
"(259, 194)",259,194
"(370, 416)",370,416
"(320, 320)",320,320
"(299, 168)",299,168
"(225, 225)",225,225
"(275, 183)",275,183
"(216, 234)",216,234
